# [H cm^-3] [K] [ergs cm^-3] [s] [dimensionless]
rho temperature pressure cooling_time HI_fraction
7.3564225446e-06 2.9773220995e+04 5.0567167605e-17 1.0272423970e+20 3.2775763568e-05 1
7.6442227425e-06 2.9366676666e+04 5.1822237909e-17 3.7043018330e+19 3.4427482093e-05 1
7.9432823472e-06 2.8939492917e+04 5.3058401119e-17 2.3941554290e+20 3.6184883930e-05 1
8.2540418527e-06 2.8553209770e+04 5.4391550731e-17 0.0000000000e+00 3.7997274317e-05 1
8.5769589859e-06 2.8197326104e+04 5.5807959952e-17 1.3121695213e+20 3.9871480148e-05 1
8.9125093813e-06 2.7846354950e+04 5.7261968331e-17 2.0231004391e+20 4.1836821135e-05 1
9.2611872813e-06 2.7510627816e+04 5.8776814330e-17 1.2892395631e+20 4.3884619271e-05 1
9.6235062640e-06 2.7125122554e+04 6.0211922240e-17 6.1172750026e+19 4.6104995624e-05 1
1.0000000000e-05 2.6765905868e+04 6.1729948301e-17 2.7862288790e+19 4.8406582218e-05 1
1.0391223038e-05 2.6387324152e+04 6.3225096178e-17 1.4898958428e+20 5.0852501985e-05 1
1.0797751623e-05 2.6046280968e+04 6.4838952036e-17 1.9735175042e+20 5.3374796829e-05 1
1.1220184543e-05 2.5723492286e+04 6.6529488375e-17 1.2286196086e+20 5.5997903059e-05 1
1.1659144012e-05 2.5414183444e+04 6.8289292781e-17 9.5965008966e+19 5.8731833556e-05 1
1.2115276586e-05 2.5117097718e+04 7.0119002274e-17 8.9247431818e+19 6.1581921668e-05 1
1.2589254118e-05 2.4795576926e+04 7.1916209421e-17 2.4209214771e+19 6.4626886868e-05 1
1.3081774743e-05 2.4446989163e+04 7.3661027485e-17 0.0000000000e+00 6.7878417331e-05 1
1.3593563909e-05 2.4151014861e+04 7.5600830410e-17 2.1079811486e+20 7.1192197797e-05 1
1.4125375446e-05 2.3867179900e+04 7.7619144016e-17 1.1699498610e+20 7.4645986816e-05 1
1.4677992676e-05 2.3591722723e+04 7.9707784266e-17 2.4436672153e+20 7.8252946108e-05 1
1.5252229565e-05 2.3334843363e+04 8.1906299745e-17 5.6688918924e+19 8.1991390211e-05 1
1.5848931925e-05 2.3081148068e+04 8.4166262715e-17 7.8533309416e+19 8.5906875780e-05 1
1.6468978655e-05 2.2829265328e+04 8.6484561959e-17 3.9576211692e+19 9.0011804948e-05 1
1.7113283042e-05 2.2554720915e+04 8.8765888394e-17 1.9492272135e+19 9.4394011932e-05 1
1.7782794100e-05 2.2264279072e+04 9.1021372775e-17 5.5561424768e+20 9.9033650991e-05 1
1.8478497974e-05 2.2003982098e+04 9.3451861445e-17 1.4065785769e+20 1.0382327547e-04 1
1.9201419386e-05 2.1755762692e+04 9.5986393219e-17 4.8691038955e+19 1.0880816951e-04 1
1.9952623150e-05 2.1513544586e+04 9.8603861352e-17 4.1251769353e+19 1.1401899002e-04 1
2.0733215735e-05 2.1280246420e+04 1.0132150781e-16 3.4690117068e+19 1.1945115391e-04 1
2.1544346900e-05 2.1073989679e+04 1.0423480758e-16 2.0706820362e+19 1.2503030875e-04 1
2.2387211386e-05 2.0868355600e+04 1.0722418737e-16 2.2744272257e+19 1.3087690925e-04 1
2.3263050672e-05 2.0642389129e+04 1.1017888638e-16 1.2003137589e+19 1.3710970814e-04 1
2.4173154808e-05 2.0393565849e+04 1.1306312476e-16 0.0000000000e+00 1.4373746613e-04 1
2.5118864315e-05 2.0178641969e+04 1.1620997951e-16 4.9690462179e+19 1.5054370140e-04 1
2.6101572157e-05 1.9966428049e+04 1.1944598685e-16 3.6636521266e+19 1.5766836873e-04 1
2.7122725793e-05 1.9759114709e+04 1.2278791036e-16 3.7131686882e+19 1.6511377612e-04 1
2.8183829313e-05 1.9561653808e+04 1.2627210593e-16 2.1499216117e+19 1.7285886156e-04 1
2.9286445646e-05 1.9365444720e+04 1.2984939672e-16 2.4591600003e+19 1.8097277799e-04 1
3.0432198871e-05 1.9178448074e+04 1.3357759029e-16 1.7787599066e+19 1.8941347176e-04 1
3.1622776602e-05 1.8986253272e+04 1.3736115504e-16 1.2089219674e+19 1.9830460847e-04 1
3.2859932476e-05 1.8758606651e+04 1.4095397185e-16 5.6935491827e+19 2.0786349303e-04 1
3.4145488738e-05 1.8562620125e+04 1.4488025759e-16 4.8619246432e+19 2.1768676726e-04 1
3.5481338923e-05 1.8376105013e+04 1.4897518252e-16 3.3944268108e+19 2.2790607346e-04 1
3.6869450645e-05 1.8193086246e+04 1.5319822200e-16 3.6000030183e+19 2.3859011488e-04 1
3.8311868496e-05 1.8017795005e+04 1.5759195014e-16 2.0580977784e+19 2.4971722708e-04 1
3.9810717055e-05 1.7845219455e+04 1.6211977203e-16 1.8054167958e+19 2.6135400951e-04 1
4.1368204024e-05 1.7680961919e+04 1.6684018031e-16 1.0252081543e+19 2.7346120106e-04 1
4.2986623471e-05 1.7517586751e+04 1.7169002778e-16 8.9776717637e+18 2.8613783814e-04 1
4.4668359215e-05 1.7356026926e+04 1.7668361610e-16 7.1793170882e+18 2.9940650559e-04 1
4.6415888336e-05 1.7149612806e+04 1.8130733040e-16 0.0000000000e+00 3.1382183277e-04 1
4.8231784822e-05 1.6965828710e+04 1.8629384032e-16 9.8866618473e+20 3.2874563942e-04 1
5.0118723363e-05 1.6789836992e+04 1.9148299905e-16 1.9922554542e+19 3.4429605615e-04 1
5.2079483286e-05 1.6610851954e+04 1.9675848545e-16 3.9056936737e+19 3.6066832864e-04 1
5.4116952655e-05 1.6446259016e+04 2.0233347305e-16 3.3821969850e+19 3.7761988987e-04 1
5.6234132519e-05 1.6288859343e+04 2.0813626451e-16 1.9995127326e+19 3.9527622532e-04 1
5.8434141337e-05 1.6140417285e+04 2.1420379565e-16 7.1466375042e+18 4.1362786429e-04 1
6.0720219569e-05 1.5987134432e+04 2.2036224329e-16 8.5665512026e+18 4.3297412602e-04 1
6.3095734448e-05 1.5841444632e+04 2.2678451468e-16 6.1616197988e+18 4.5310666393e-04 1
6.5564184942e-05 1.5661301392e+04 2.3282813804e-16 1.7510133140e+19 4.7482067765e-04 1
6.8129206906e-05 1.5488609576e+04 2.3914624863e-16 0.0000000000e+00 4.9764342346e-04 1
7.0794578438e-05 1.5330131198e+04 2.4583270821e-16 1.4047560816e+19 5.2126949764e-04 1
7.3564225446e-05 1.5168476662e+04 2.5262633745e-16 2.8063954983e+19 5.4617538336e-04 1
7.6442227425e-05 1.5014523584e+04 2.5971140853e-16 1.7496169797e+19 5.7212916823e-04 1
7.9432823472e-05 1.4866572624e+04 2.6707531265e-16 8.4704270272e+18 5.9921715021e-04 1
8.2540418527e-05 1.4721206269e+04 2.7466896321e-16 6.3060273831e+18 6.2758764512e-04 1
8.5769589859e-05 1.4587228857e+04 2.8267166708e-16 3.9113137320e+18 6.5700334097e-04 1
8.9125093813e-05 1.4453855213e+04 2.9089759819e-16 3.6350631874e+18 6.8787907885e-04 1
9.2611872813e-05 1.4284146323e+04 2.9853169648e-16 1.6828080170e+19 7.2135807878e-04 1
9.6235062640e-05 1.4127015248e+04 3.0663779028e-16 9.4312481748e+19 7.5638279828e-04 1
1.0000000000e-04 1.3977697983e+04 3.1510234524e-16 3.2283062143e+19 7.9291091217e-04 1
1.0391223038e-04 1.3835424244e+04 3.2392943766e-16 8.3515635505e+18 8.3102289166e-04 1
1.0797751623e-04 1.3694428800e+04 3.3300124124e-16 7.0215467218e+18 8.7105120638e-04 1
1.1220184543e-04 1.3559151855e+04 3.4243789429e-16 4.6967872526e+18 9.1288310683e-04 1
1.1659144012e-04 1.3425909091e+04 3.5215996361e-16 4.3183957389e+18 9.5676291091e-04 1
1.2115276586e-04 1.3298392664e+04 3.6228090064e-16 3.2178768942e+18 1.0026085707e-03 1
